Client_ID,Nom_Client,Date_naissance,Nationalité,Adresse,Numéro_Identité,Profession,Score_Risque,Statut_KYC
38,Youssef,10/5/2003,France,Suite 74,53fdd1ce-c8ae-4f95-b6fa-f1850f989a51,Software Test Engineer II,1-May,Validé
39,Khalid,5/22/1991,Morocco,16th Floor,dea607a1-729a-4e59-80a5-23155b4ea8a7,Civil Engineer,5-May,en attente
40,Aisha,5/26/1983,South Africa,7th Floor,1ae11f33-06fd-484c-a48d-253821187e0d,Budget/Accounting Analyst I,5-May,en attente
41,Omar,2/8/1975,France,Apt 1688,01dca823-7709-4422-8e32-cd98d8721473,Actuary,5-May,en attente
42,Omar,4/3/1983,South Africa,Room 1035,7a5ec118-2194-418f-9323-1044c6cfd66c,Speech Pathologist,5-May,Rejeté
43,Omar,11/23/1996,France,Apt 965,7a5f27ac-3988-426e-8f38-2d1386cecd50,Accounting Assistant II,2-May,Rejeté
44,Abdullah,4/20/2003,Morocco,Room 386,8b709540-6255-43c7-ad4c-d990d3d0d2ec,Editor,1-May,Rejeté
45,Nour,3/29/1977,France,PO Box 27012,bb4b2eb6-4199-4f73-8120-507f9e8ddaa8,Nuclear Power Engineer,4-May,Rejeté
46,Omar,9/11/1995,Morocco,Suite 39,15e36719-5c5b-4d11-8515-9ca0c4c86061,Food Chemist,5-May,Rejeté
47,Omar,11/21/1983,France,Apt 786,d59f1e42-ef44-4ab9-bd66-08ac9ecd46cf,Developer II,1-May,en attente
48,Abdullah,5/4/1985,France,Apt 1127,534f2f04-f605-4fdd-a492-a4301e1664ae,Research Associate,5-May,Rejeté
49,Youssef,8/8/1997,France,PO Box 31157,6dec9fdf-7dc3-450f-b2ad-07b3c75d7cfa,Account Coordinator,4-May,en attente
50,Zainab,1/19/1979,France,Room 870,b2c453d6-b6ca-4b76-b92a-e5d6f64d57e0,Accountant IV,5-May,Validé
51,Nour,2/18/1997,France,Apt 1318,64dadbf5-3320-48bc-9022-01c60b963fdb,Dental Hygienist,2-May,en attente
52,Omar,1/16/1990,France,PO Box 14285,c923afcb-c21f-4ed3-a914-e50cc3fd4ddb,Tax Accountant,3-May,Rejeté
53,Abdullah,7/14/1976,France,Apt 1137,692def7a-4d7c-455a-86f1-d79095596b5e,Safety Technician I,2-May,en attente
54,Ali,4/28/1986,France,Room 470,c5739d0f-3242-42a0-a9cf-32103bf04376,Quality Engineer,4-May,Validé
55,Nour,9/28/1989,France,Apt 1341,1aa438cc-b41b-4583-9eae-78513921f36d,Geological Engineer,5-May,Rejeté
56,Layla,2/22/1974,France,Suite 21,10ad4402-c56a-41a4-af03-253abcbf94e4,General Manager,4-May,en attente
57,Ali,6/1/1973,France,Apt 1696,01d3dc96-c792-445c-81de-af74a17505e6,Project Manager,3-May,en attente
58,Omar,6/28/1993,France,Apt 1193,0990e4f3-ca9d-4b2c-afd0-b5203814d773,Technical Writer,1-May,Rejeté
59,Khalid,6/14/1992,France,15th Floor,8ebb08c9-c2fc-4f25-ab04-b30cb1539f9e,VP Product Management,1-May,Validé
60,Nour,9/28/1971,France,Room 1449,3732da17-9bf3-492c-81c9-d5c3aae23832,Technical Writer,2-May,Validé
61,Abdullah,11/6/2005,France,Suite 76,3a3886a6-dcd2-4ed2-9046-785d526c566c,Nurse,3-May,Validé
62,Layla,12/31/1994,South Africa,Suite 100,8dbc60c8-6ddc-4c13-9691-ca7ea34289d2,Health Coach I,1-May,en attente
63,Fatima,5/19/1999,France,Apt 184,59e37ae5-1a00-4ec8-93f6-fc6f73c3962d,Civil Engineer,5-May,en attente
64,Omar,10/17/1978,Morocco,Apt 757,e098211b-9a2b-4df4-b31e-1d2746a78346,Social Worker,3-May,Rejeté
65,Fatima,4/29/1991,France,Room 1313,1d2174f5-3f0a-4194-923d-51c479a9d241,Media Manager II,4-May,Rejeté
66,Ali,11/21/1993,Morocco,Suite 5,4c3c8a92-a625-4889-81f1-457d5d7ea9fb,Research Assistant II,1-May,Validé
67,Aisha,10/13/1991,Morocco,Room 1231,5a01fa73-64ef-47b0-9b35-c1fa3463aad9,VP Marketing,2-May,en attente
68,Khalid,10/27/1989,France,Apt 849,738697a5-8755-4ee6-b0a4-34c428d0b88c,Environmental Tech,1-May,Validé
69,Layla,3/30/2000,South Africa,PO Box 51693,a7ccd097-d9e6-4e0c-b771-0355de934b44,Engineer II,4-May,en attente
70,Zainab,10/11/1986,France,Apt 1723,d770486b-7436-4e6e-8953-25d5a06a9184,Biostatistician III,4-May,Rejeté
71,Khalid,10/18/2005,France,13th Floor,e3c4e99d-eb46-46f2-b920-7331d2779162,Software Engineer I,5-May,Rejeté
72,Fatima,2/6/1989,France,Apt 196,8e00013f-8593-432b-894f-b271375a3c90,Programmer Analyst IV,4-May,en attente
73,Layla,5/29/1998,France,Apt 873,f9b03545-342a-42da-9817-73b20e965ddf,Desktop Support Technician,5-May,Rejeté
74,Khalid,3/24/1989,France,PO Box 90725,8ca0d660-7a19-421d-b9e9-3310515aed98,Assistant Professor,1-May,Rejeté
75,Ali,12/27/1978,France,Room 400,7ad8ad80-587a-4da8-b7c4-dbc0b933c2de,Automation Specialist II,5-May,Rejeté
76,Abdullah,5/18/2002,France,Room 403,113245a4-ae00-4157-9f90-607c875cbc07,Staff Scientist,2-May,Validé
77,Abdullah,3/1/1978,France,Suite 78,eda90940-3c9d-48dd-bb1c-707ab02cae0d,Pharmacist,4-May,Rejeté
78,Aisha,3/29/1988,France,6th Floor,8b1103ef-cb1f-4ca1-bb94-b4e78e0f89c4,General Manager,1-May,en attente
79,Youssef,2/14/1996,France,19th Floor,945ca071-b1bc-4d71-b12c-fcd9138e3d7f,Civil Engineer,4-May,en attente
80,Aisha,10/8/2000,France,Room 1453,ddb943a0-7ede-4c3c-8c88-7970e74ba47f,Health Coach I,1-May,Validé
81,Youssef,10/10/1981,France,PO Box 2445,f6233800-d38c-4de4-8a8d-bc03d9e13746,Speech Pathologist,4-May,Rejeté
82,Ali,6/23/1984,South Africa,14th Floor,eed04d40-c68b-4c99-a5e0-034db39fcd4d,Food Chemist,4-May,en attente
83,Omar,1/26/1976,Morocco,PO Box 61985,8975db01-17f1-4c23-b146-22d7d9fca3e5,Software Consultant,5-May,en attente
84,Zainab,11/25/2001,France,5th Floor,bc2a0607-d9ac-467a-bc28-e273fca65655,Recruiting Manager,4-May,Rejeté
85,Layla,11/12/1984,Morocco,15th Floor,2120cb89-ee63-406b-9c86-d4c10131b37c,Speech Pathologist,3-May,Validé
86,Nour,4/14/1972,South Africa,8th Floor,a6455307-843a-447e-a6be-6e905bfe6449,Payment Adjustment Coordinator,1-May,en attente
87,Ali,1/8/2000,Morocco,Apt 378,0a80ace7-21b1-4cef-8204-8b2b950749df,Developer IV,2-May,en attente
88,Fatima,11/23/1996,France,14th Floor,1578cde5-629a-4160-936f-ab4ff676440e,Civil Engineer,3-May,en attente
89,Ali,12/28/1999,France,PO Box 39372,8d9a8608-3bac-4924-ba48-df8d2e614e29,Internal Auditor,1-May,Rejeté
90,Aisha,4/28/2002,France,Room 1444,c4ff93cd-7c12-4eff-8d69-eb4aa470c3bc,Office Assistant III,5-May,Validé
91,Khalid,5/9/1999,Morocco,PO Box 17393,49c73613-d56a-4c9c-bda5-67ad60644a78,Research Nurse,1-May,en attente
92,Omar,8/11/1993,South Africa,Room 1810,0e6c0a42-d5d2-4d7b-a6dc-42b79801360f,Internal Auditor,2-May,en attente
93,Khalid,10/24/1998,France,PO Box 54567,fd057f7f-c539-4b72-91a8-0546518067b0,Registered Nurse,4-May,Rejeté
94,Layla,3/12/1982,Morocco,10th Floor,d04638d8-6d1a-43b3-bf81-38f77de7f93d,Physical Therapy Assistant,4-May,en attente
95,Youssef,2/16/1998,France,Apt 757,d7534f34-d0e3-46be-9b7b-9a756fc67b99,Chemical Engineer,2-May,Validé
96,Aisha,10/5/1977,France,Apt 1016,2d4dfa7a-dc77-442d-acf3-0bfc9311ded3,Executive Secretary,5-May,Validé
97,Zainab,12/30/1970,France,Apt 1138,124cf6d6-2e4f-4746-9935-a8052919075e,Recruiter,5-May,Validé
98,Youssef,2/21/1995,France,Suite 33,e2fb53a1-e21d-4b89-9940-22be84018d32,Geologist IV,1-May,Validé
99,Nour,10/24/1979,South Africa,Suite 33,c2f410b9-97fc-4266-9e8e-2992bb7b9ad7,Human Resources Assistant I,1-May,Validé
100,Omar,10/21/1976,South Africa,Room 404,c171e031-cbd2-4148-a9a7-ac5d87c5bdaf,Recruiting Manager,3-May,Rejeté
101,Nour,2/13/1998,South Africa,6th Floor,4fee5931-f494-4105-9c05-82430f76036c,Statistician IV,3-May,Validé
102,Aisha,4/9/2006,France,Apt 1031,f404f674-a163-49a1-bf58-79ed02c11c2b,Financial Advisor,5-May,en attente
103,Omar,12/25/1977,France,Room 1475,00777849-20b4-4794-b02b-95a6d711614b,Automation Specialist IV,1-May,Validé
104,Aisha,3/4/1986,France,20th Floor,0bf6993f-cee6-4d88-8250-17c03fc966b2,Social Worker,1-May,Rejeté
105,Khalid,5/11/1987,Morocco,Suite 93,63a0ea84-d1b4-448f-8501-4932edba724b,Senior Financial Analyst,1-May,Validé
106,Omar,10/18/1982,France,15th Floor,9580f2ff-bb31-4e42-9039-c16d7265eac5,Financial Advisor,2-May,en attente
107,Khalid,1/10/1974,South Africa,PO Box 85556,07391752-fedc-4610-83fa-7d0ea17d31f5,Structural Engineer,4-May,en attente
108,Aisha,4/4/1971,France,PO Box 5376,992a53c6-6917-4231-a49d-a41ac5a63719,General Manager,4-May,Validé
109,Fatima,11/14/1999,France,Apt 1762,0feccde5-94ab-47e0-9656-c707da83f02b,Research Nurse,4-May,Rejeté
110,Fatima,10/4/2002,France,Apt 1214,7492fc70-a2c7-4a5d-96f7-893cf8738f84,Financial Advisor,4-May,Validé
111,Abdullah,11/19/1982,France,Suite 100,f6d13a01-9bbe-408d-96c8-ee46a30f7d6e,Systems Administrator I,4-May,Rejeté
112,Zainab,6/13/1994,France,PO Box 61053,2447a72d-ca06-48bf-b3ed-6b45edae5c9a,Assistant Media Planner,2-May,en attente
113,Ali,6/19/1994,France,Apt 1523,dcc750d9-7ce7-4048-81e3-e9c15ad68729,Accountant IV,3-May,Validé
114,Abdullah,12/11/1995,Micronesia,Suite 93,ac2f71de-94a0-4da9-b9e2-58985fb12120,Structural Engineer,2-May,Rejeté
115,Youssef,11/4/1995,France,Room 1082,efdb5c9d-9b8f-43ea-af61-f969b9858265,Electrical Engineer,1-May,Validé
116,Fatima,11/21/1985,France,Apt 937,3ab59fa5-9002-43cb-8f7e-74f8015f270e,Marketing Assistant,1-May,en attente
117,Omar,6/5/1971,France,Suite 48,d2e090f4-7c35-44d3-a790-fa86e737636b,Business Systems Development Analyst,4-May,Rejeté
118,Khalid,1/25/1976,Morocco,PO Box 41675,c0aed581-affb-4daf-861a-38f75441800a,Chief Design Engineer,2-May,Rejeté
119,Abdullah,3/16/2001,Micronesia,Suite 67,357d44d2-e71e-40aa-adbb-4aa0d0002a73,Nurse,5-May,en attente
120,Layla,7/7/1986,Morocco,9th Floor,1d6eae7e-28fd-4424-9b95-5c2ea7aea995,Engineer III,5-May,Validé
121,Abdullah,3/5/1995,France,17th Floor,3520d998-3374-4484-8e57-a8d82d787aea,Senior Quality Engineer,2-May,en attente
122,Layla,2/9/1983,Morocco,Suite 41,e22b41ff-aea6-4d04-ae84-83079aa5ff71,Design Engineer,4-May,en attente
123,Abdullah,8/28/1978,France,Apt 809,0f2953a9-542b-434a-8505-e8df293cd9cd,Clinical Specialist,4-May,Rejeté
124,Fatima,11/23/1999,France,Apt 203,298e5381-2b70-4825-993f-a95910702316,Data Coordinator,5-May,en attente
125,Abdullah,11/6/1978,France,Room 1348,284d3926-81ce-4b50-83dd-a494375cd758,Social Worker,1-May,Rejeté
126,Nour,2/8/2003,France,Suite 82,67128c32-12c8-4b05-9290-a5352f354316,Staff Accountant I,5-May,Rejeté
127,Aisha,11/3/1996,France,PO Box 26874,a86376d5-74c6-45ed-b03a-83f470ceed00,Developer III,5-May,en attente
128,Nour,2/7/1990,France,Room 1978,41fd0c1b-7f07-415f-a3ef-5a838c293a0d,Director of Sales,4-May,Validé
129,Omar,4/9/1975,France,Apt 968,c8b7c80d-9dc0-4bdd-93f0-bbd17549584a,Desktop Support Technician,2-May,Rejeté
130,Nour,8/5/1993,France,Suite 82,27878f52-d653-4ba3-8b98-419061b492f9,Professor,5-May,Rejeté
131,Youssef,8/24/1989,Morocco,Room 434,b7212c2d-777b-444f-ae8d-55b37ee88f6d,Structural Engineer,5-May,Validé
132,Layla,1/1/1976,Morocco,PO Box 84647,c35a5792-8bfa-4217-9f65-b6a6a0519e5c,Editor,5-May,Validé
133,Abdullah,2/10/1990,South Africa,PO Box 30161,4342114a-473c-443a-8663-49d26a6660f9,Compensation Analyst,1-May,en attente
134,Khalid,6/22/1982,France,PO Box 38738,402e3aaa-e926-4cf9-b66d-5bef99bded7e,Research Associate,4-May,Validé
135,Fatima,8/11/1986,France,Room 259,add948df-f448-4934-97a7-9e29438d9a94,Sales Representative,4-May,Validé
136,Fatima,2/2/2002,France,Apt 1066,3abe9f75-113a-45b3-86c2-dbad752db7f9,VP Quality Control,3-May,en attente
137,Aisha,5/22/1984,France,19th Floor,6a9546ca-e722-4aa2-8ec0-fdbc7f0ae1c2,Quality Engineer,1-May,Rejeté
138,Youssef,10/21/1981,France,Apt 1944,000022c5-2223-4885-b9da-0f9d578ccd23,Health Coach IV,3-May,Rejeté
139,Zainab,4/28/1990,France,13th Floor,3d859deb-4d4e-4337-bee6-f14af8a0563a,Computer Systems Analyst II,1-May,Rejeté
140,Zainab,9/10/1972,France,10th Floor,21de2d30-49c2-4a3e-b7bc-66a45f0353fb,Director of Sales,4-May,Validé
141,Aisha,7/2/1982,France,Suite 70,74d6738e-d86b-4d84-be29-3fadaea27534,Staff Scientist,3-May,Validé
142,Omar,3/20/1976,France,Room 510,13b411a5-f030-48b1-9a2e-44dd7373a7cc,VP Marketing,2-May,en attente
143,Fatima,11/20/1993,France,PO Box 41634,f4a8b182-2ed9-45e4-8edd-a0320583dd09,Business Systems Development Analyst,1-May,en attente
144,Nour,12/1/1996,France,PO Box 34684,6ae8e107-e5c0-4da2-b796-4272c8e9d39d,Administrative Officer,3-May,en attente
145,Nour,10/19/1994,France,Suite 77,d42c7d5e-926e-4c68-ac9e-8f2fc7fb8e06,Nurse Practicioner,2-May,Validé
146,Abdullah,8/23/1994,France,Room 1502,6ae8b055-6a55-437f-a6a7-e4e899ec9f31,Registered Nurse,5-May,Validé
147,Abdullah,7/26/1991,France,Apt 656,22388c47-dc38-426e-b88f-db96d50f1101,Systems Administrator I,3-May,en attente
148,Nour,9/29/1995,Morocco,Room 34,f286b272-5a94-43ae-baf3-144eb50de9d0,Community Outreach Specialist,4-May,Validé
149,Omar,1/27/1999,France,Suite 16,2d3a913b-3980-4f12-bca0-4aa4a3823d4d,Assistant Professor,3-May,en attente
150,Nour,10/25/2003,France,10th Floor,609db621-0418-4b83-ad1d-600b0917b98a,Financial Advisor,3-May,Rejeté
151,Omar,12/14/2002,South Africa,Suite 20,0d9eee4c-3e35-458d-8ccd-ae64187d31ca,Social Worker,5-May,Rejeté
152,Ali,4/25/2004,Micronesia,Suite 18,b772a4db-287d-40e9-bda2-713785755fc4,Environmental Specialist,3-May,Validé
153,Omar,11/9/1977,France,Apt 1284,bd7c62fd-8d51-4cf9-8ed2-f4f66896f4c4,Editor,5-May,en attente
154,Nour,9/13/1998,France,Apt 480,e1c31b07-116f-4787-b01d-10bee2086e58,Physical Therapy Assistant,1-May,en attente
155,Aisha,11/9/1989,South Africa,Suite 54,c83dfc44-4cea-4f39-b92c-64296601e5ec,Computer Systems Analyst III,3-May,Rejeté
156,Aisha,8/29/1991,France,Room 1594,d58b5cd0-d815-43e3-82f3-5333bd8ea8f1,Statistician I,2-May,en attente
157,Abdullah,10/19/1999,South Africa,Apt 256,e70810f1-3cb4-4c38-a09d-247f43563ce6,Environmental Tech,5-May,Validé
158,Khalid,10/7/1996,France,Suite 11,cdc35cab-4291-4b25-90ae-685e690725c7,Social Worker,3-May,Rejeté
159,Fatima,1/29/1986,Micronesia,Apt 228,e2672109-8977-4620-9705-7e999572b103,Chemical Engineer,2-May,en attente
160,Omar,10/10/1995,Morocco,PO Box 8299,299a3da6-c214-41ef-bbc4-9787533bf953,Software Engineer II,4-May,Rejeté
161,Nour,6/28/1991,France,Apt 425,c844ca43-afe5-48eb-bbc4-d7c3d77387e6,Safety Technician I,2-May,Rejeté
162,Omar,5/1/2004,France,Room 353,e34882da-c99a-4325-962f-36bd8314f19b,Software Test Engineer IV,2-May,en attente
163,Khalid,6/14/1996,France,PO Box 29017,b15665a7-2469-4d88-819f-3af18666685a,Staff Accountant III,4-May,Rejeté
164,Ali,7/20/1971,South Africa,Suite 28,f5619a28-4a72-4ac0-bf06-a22df4133ba4,Environmental Tech,3-May,en attente
165,Zainab,8/27/1998,France,Apt 1428,a49b05ff-e0b3-47c9-b89b-2dccb02ae35d,Assistant Professor,1-May,en attente
166,Aisha,6/29/1977,France,Suite 89,5f1e0556-333b-49c8-9d9e-c0625dd27009,Chemical Engineer,5-May,Validé
167,Fatima,6/28/1979,France,Suite 32,17ec8f86-3bef-4071-addb-7ec93865950a,Business Systems Development Analyst,4-May,Rejeté
168,Khalid,6/6/1998,South Africa,PO Box 29458,0bba42fe-4d87-4c7b-95ca-84473090429e,Electrical Engineer,5-May,Validé
169,Khalid,4/13/1972,France,Suite 54,34f5e887-4f95-4e66-9bca-c8f0a0a6cf91,Recruiter,3-May,en attente
170,Khalid,5/24/1993,France,Apt 584,20e23633-1292-4018-b974-877f6eb23398,Actuary,1-May,Rejeté
171,Youssef,3/14/1985,France,PO Box 34527,f94f8b3b-274a-479a-8b09-fce7134d1ceb,Teacher,4-May,en attente
172,Zainab,7/20/1976,South Africa,Suite 95,b89f0f4a-c6be-40cd-8f05-b32e13cfef15,Director of Sales,1-May,Validé
173,Zainab,4/27/1990,Micronesia,PO Box 80674,4169ac45-490a-40fb-b23b-8dd9925c2f68,Clinical Specialist,3-May,Rejeté
174,Abdullah,12/15/1970,South Africa,Suite 38,369989cf-3b19-435f-b5cd-c4efce353e4f,Senior Developer,3-May,Rejeté
175,Nour,9/13/1971,South Africa,Suite 72,0f3a8464-4c22-48ae-82f4-590b19d72aa9,Financial Advisor,1-May,Validé
176,Zainab,7/24/1977,France,Room 115,841c66d7-115e-47d8-9638-db15b78aa218,Recruiting Manager,5-May,Rejeté
177,Abdullah,1/9/1984,South Africa,7th Floor,81c8bc9d-5187-4fa6-98f8-a9bbb0a5a3b9,Nurse,1-May,en attente
178,Fatima,2/10/1992,France,PO Box 32799,3e929d28-59f3-4d8b-aed0-451560a2847b,Legal Assistant,2-May,Validé
179,Youssef,11/18/2001,South Africa,10th Floor,57f6654f-00b6-40f4-ae45-218c8dadf917,Systems Administrator I,1-May,en attente
180,Nour,9/23/1998,South Africa,Suite 42,db6fe0df-2d32-4b86-8fe6-77bcbd400462,Clinical Specialist,5-May,en attente
181,Nour,10/25/1983,France,Apt 480,1edbb2a8-5575-459f-8d33-a2a26ef40498,Editor,1-May,Rejeté
182,Nour,5/24/1997,Morocco,Suite 82,b0cc4496-f223-4b96-9eb5-6e78c4dce79e,Editor,4-May,en attente
183,Layla,6/18/2000,France,Apt 1756,73e5b55c-18b0-4f54-bbd1-ee60918602ba,Project Manager,4-May,Rejeté
184,Youssef,5/3/1989,France,PO Box 62985,0fec7d6b-3cf8-4132-84dd-73b34b479b46,VP Quality Control,5-May,Rejeté
185,Nour,1/8/2005,France,Room 1502,52edbc78-67d8-46f4-9877-6b1301f068f4,Electrical Engineer,1-May,Validé
186,Abdullah,1/28/1979,Morocco,Room 1595,91b12071-8b08-42a2-acfe-424a35847ba0,Research Nurse,1-May,Rejeté
187,Ali,3/30/1997,Morocco,Suite 83,5f961e9c-e138-4c27-9879-2810bcdbf6ff,Actuary,2-May,Validé
188,Aisha,7/15/1971,France,Apt 1155,e83ab4e7-021a-4a9b-ad44-935d32997a20,Senior Editor,4-May,Validé
189,Omar,10/11/2002,France,Apt 919,2094207d-f0d6-4287-aa0d-64b8dde74529,VP Accounting,4-May,Rejeté
190,Ali,7/19/1999,France,Apt 820,431e8729-dd81-47ec-a825-c7672d06ab3d,Administrative Assistant II,5-May,en attente
191,Ali,7/20/1976,France,Suite 19,2fe5de95-bc10-44f7-acd2-6043dea6d4e7,Biostatistician III,4-May,en attente
192,Fatima,12/27/1991,France,Apt 786,16046d12-aa54-49b8-af3a-02b5e4ccdc77,Nurse Practicioner,4-May,Rejeté
193,Khalid,6/3/1983,France,Apt 1256,19967fdb-63f3-4c14-9c8a-966235adc209,VP Sales,1-May,en attente
194,Nour,9/21/1983,South Africa,Room 1603,e33be5b2-771b-4f0f-b830-10007435f5cf,Research Associate,3-May,Validé
195,Abdullah,11/4/1981,South Africa,PO Box 82694,7e24cd5e-1e28-4b22-9510-2bfc5c54d212,Office Assistant III,2-May,Validé
196,Khalid,10/19/1989,Morocco,PO Box 60491,a7050597-d91b-422c-bbe6-e5e1af922262,Sales Representative,1-May,Validé
197,Ali,3/15/1979,France,Suite 44,27b3ce7c-9eda-4b68-b061-91d6e29173a2,Product Engineer,4-May,en attente
198,Zainab,3/25/1998,South Africa,2nd Floor,10dded6d-f74a-47e7-9fa8-ea8e218e5e57,Quality Engineer,3-May,Validé
199,Abdullah,4/18/1994,France,Apt 1356,811d061a-b479-442c-9f31-56f909545d3e,Recruiting Manager,3-May,Validé
200,Zainab,11/13/1997,Morocco,13th Floor,b5400c7c-30d3-4cb1-843a-da5ec343360a,Quality Control Specialist,3-May,Rejeté
201,Zainab,9/5/1974,France,PO Box 45256,e0ddf2c5-571b-478c-9690-b7dab2eecf78,Senior Quality Engineer,3-May,en attente
202,Fatima,6/27/1989,Morocco,Suite 45,9d39c15b-1106-4a04-b453-e6f7b69f0c12,Research Nurse,1-May,Rejeté
203,Zainab,4/8/1995,France,15th Floor,f1250246-a1ff-4b5b-bf07-85f624a45128,Pharmacist,5-May,en attente
204,Youssef,7/5/2000,France,Room 922,a6c35774-1165-4b95-9cfa-376a3afa38fb,Clinical Specialist,1-May,Validé
205,Layla,6/28/2004,France,PO Box 68270,125ef93f-186f-4e1c-8caa-6b08bd66aac2,Paralegal,3-May,Validé
206,Zainab,2/10/1979,France,Room 959,18aecf8e-a3a0-419a-b193-e28f735527b1,Assistant Media Planner,1-May,Validé
207,Omar,7/31/1971,France,20th Floor,44efd045-2889-4242-87a7-a56ded6b9fc7,Clinical Specialist,2-May,en attente
208,Zainab,5/14/2006,France,Suite 26,0367b494-c251-45a8-891e-96c0ba97ed9a,Recruiter,4-May,Rejeté
